gi_number	country	geo_loc	collection_year	host	comment	isolate
DQ194879	Namibia	Grootfontein	2003	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV153
DQ194880	Namibia	Rundu	2003	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1514
DQ194881	Namibia	Grootfontein	2003	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1516
DQ194882	Namibia	Okahandja	2003	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1517
DQ194883	Namibia	Omaruru	2003	eland	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1518
DQ194884	Namibia	Etosha	2003	hyena	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1519
DQ194885	Namibia	Etosha	-	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1826
DQ194886	Namibia	Etosha	-	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1827
DQ194887	Namibia	Etosha	-	jackal	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1829
DQ194888	Namibia	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1830
DQ194889	Namibia	Windhoek	1980	kudu	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1843
DQ194890	Namibia	Windhoek	1980	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1875
DQ194891	Namibia	Keetmanshoop	-	mongoose	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1917
DQ194892	South Africa	Namaqualand	2000	Canis lupus	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV996
DQ194893	South Africa	N. Cape	2000	genet	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1005
DQ194894	South Africa	N. Cape	2000	Felis catus	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1010
DQ194895	South Africa	Kernhardt	1990	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1817
DQ194900	South Africa	Neudorf	1980	jackal	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1841
DQ194901	South Africa	N. Cape	2001	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1929
DQ194902	South Africa	N. Cape	2002	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1933
DQ194903	South Africa	-	1980	kudu	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV135
DQ489789	South Africa	Britstown	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1426
DQ489790	South Africa	Kimberley	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1428
DQ489791	South Africa	Kimberley	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1429
DQ489792	South Africa	Prieska	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1430
DQ489793	South Africa	Middelburg Cp	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1432
DQ489794	South Africa	Boshof	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1433
DQ489795	South Africa	Hay	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1434
DQ489796	South Africa	Potgietersrus	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1435
DQ489797	South Africa	Hay	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1436
DQ489798	South Africa	Potgietersrus	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1437
DQ489799	South Africa	Kenhardt	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1438
DQ489800	South Africa	Hay	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1439
DQ489801	South Africa	Hay	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1440
DQ489802	South Africa	Britstown	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1441
DQ489803	South Africa	Sterkstroom	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1442
DQ489804	South Africa	Kimberley	1999	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1443
DQ489805	South Africa	Victoria West	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1444
DQ489806	South Africa	Hay	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1446
DQ489807	South Africa	Clanwilliam	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1448
DQ489808	South Africa	Hay	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1449
DQ489809	South Africa	Herb	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1450
DQ489810	South Africa	Gordonia	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1451
DQ489811	South Africa	Malmesbury	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1452
DQ489812	South Africa	Malmesbury	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1453
DQ489813	South Africa	Vredendal	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1454
DQ489814	South Africa	Sterksrtoom	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1455
DQ489815	South Africa	Britstown	2001	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1457
DQ489816	South Africa	Hay	2001	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1458
DQ489817	South Africa	De Aar	2001	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1461
DQ489818	South Africa	Britstown	2001	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1464
DQ489819	South Africa	Petrusburg	2001	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1465
DQ489820	South Africa	Britstown	2001	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1467
DQ489821	South Africa	Malmesbury	2001	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1468
DQ489822	South Africa	Kuruman	2002	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1469
DQ489823	South Africa	Kuruman	2002	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1470
DQ489824	South Africa	Herb	2002	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1471
DQ489825	South Africa	Victoria West	2002	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1473
DQ489826	South Africa	De Aar	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1476
DQ489827	South Africa	De Aar	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1477
DQ489828	South Africa	Kimberley	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1480
DQ489829	South Africa	George	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1482
DQ489830	South Africa	Kimberley	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1483
DQ489831	South Africa	Middelburg	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1484
DQ489832	South Africa	George	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1485
DQ489833	South Africa	Spring	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1486
DQ489834	South Africa	Gordonia	1991	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1823
DQ489835	South Africa	Gordonia	1990	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1825
DQ489836	Namibia	Etosha	-	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1828
DQ489837	South Africa	Postmasburg	1990	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1831
DQ489838	South Africa	Fraserburg	1992	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1832
DQ489839	South Africa	Britstown	1991	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1833
DQ489840	South Africa	Fauresmith	1991	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1836
DQ489841	South Africa	Clanwilliam	1991	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1837
DQ489842	South Africa	Bloubosdrif	1991	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1838
DQ489843	South Africa	Niekerkshoop	1991	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1839
DQ489844	South Africa	Gordonia	1980	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1844
DQ489845	South Africa	Postmasburg	1992	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1845
DQ489846	South Africa	Postmasburg	1992	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1846
DQ489847	South Africa	Malmesbury	1992	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1847
DQ489848	South Africa	Vredenburg	1993	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1851
DQ489849	South Africa	De Aar	1994	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1852
DQ489850	South Africa	Namaqualand	1994	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1853
DQ489851	South Africa	Kernhardt	1994	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1855
DQ489852	South Africa	Fraserburg	1994	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1856
DQ489853	South Africa	Namaqualand	1994	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1857
DQ489854	South Africa	Kuruman	1994	Felis catus	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1858
DQ489855	South Africa	Malmesbury	1994	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1859
DQ489856	South Africa	Piketberg	1994	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1860
DQ489857	South Africa	Britstown	1994	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1863
DQ489858	South Africa	Fraserburg	1994	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1864
DQ489859	South Africa	Fraserburg	1995	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1867
DQ489860	South Africa	Hopetown	1995	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1868
DQ489861	South Africa	Vyrburg	1995	Canis mesomelas (jackal)	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1869
DQ489862	South Africa	Fraserburg	1995	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1871
DQ489863	South Africa	Beaufort West	1996	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1873
DQ489864	South Africa	Philipstown	1996	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1874
DQ489865	South Africa	Carnavon	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1878
DQ489866	South Africa	Spring	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1882
DQ489867	South Africa	Middelburg	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1883
DQ489868	South Africa	Prieska	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1884
DQ489869	South Africa	Kuruman	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1885
DQ489870	South Africa	Piketberg	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1887
DQ489871	South Africa	Piketberg	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1888
DQ489872	South Africa	Bredasdorp	2004	Felis catus	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1889
DQ489873	South Africa	Malmesbury	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1890
DQ489874	South Africa	Moorresburg	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1891
DQ489875	South Africa	Piketberg	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1892
DQ489876	South Africa	Moorresburg	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1893
DQ489877	South Africa	Moorresburg	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1895
DQ489878	South Africa	Fraserburg	1997	Canis mesomelas (silver jackal)	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1922
DQ489879	South Africa	Petrusburg	1998	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1923
DQ489880	South Africa	Messina	1998	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1925
DQ489881	South Africa	Hay	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1927
DQ489882	South Africa	Gordonia	2000	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1928
DQ489883	South Africa	Malmesbury	2002	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1930
DQ489884	South Africa	Hoek Van Spruit	2002	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1934
DQ489885	South Africa	Brulpan	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1935
DQ489886	South Africa	Swellendam	2003	Atilax paludinosus	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1936
DQ489887	South Africa	Queenstown	2003	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1937
DQ489888	South Africa	Queenstown	2003	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1939
DQ489889	South Africa	Middelburg	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1942
DQ489890	South Africa	Steynsburg	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1943
DQ489891	South Africa	Britstown	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1944
DQ489892	South Africa	Kuruman	2004	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1945
DQ489893	South Africa	Umtata	2005	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1947
DQ489894	South Africa	Groblershoop	2005	Canis mesomelas (jackal)	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1948
DQ489895	South Africa	Hopetown	2005	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1949
DQ489896	South Africa	Umtata	2005	Bos taurus	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1950
DQ489897	South Africa	Groblershoop	2005	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1951
DQ489898	South Africa	Groot doring pan	2005	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1952
DQ489899	South Africa	Kuruman	2005	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1953
DQ489900	South Africa	Vredendal	2005	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1955
DQ489901	South Africa	De Aar	2003	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1956
DQ489902	South Africa	De Aar	2003	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1957
DQ489903	South Africa	Umtata	2003	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1958
DQ489904	South Africa	Umtata	2003	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1959
DQ489905	South Africa	Kimberley	2005	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1960
DQ489906	Tanzania	-	-	Vulpes vulpes	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	RV1961
DQ841403	South Africa	-	-	Ovis aries	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	KZNshp03.433
DQ841404	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.25
DQ841405	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg04.25
DQ841406	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.28
DQ841407	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg04.43
DQ841408	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.91
DQ841409	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg04.111
DQ841410	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg.03.179
DQ841411	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.180
DQ841412	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.05
DQ841413	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.336
DQ841414	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg04.376
DQ841415	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.377
DQ841416	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg04.377
DQ841417	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg04.499
DQ841418	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.567
DQ841419	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.730
DQ841420	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.751
DQ841421	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.779
DQ841422	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	ECdg03.936
DQ841423	South Africa	-	-	Homo sapiens	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	KZNhmSPU02.326
DQ841424	South Africa	-	-	Bos taurus	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	KZNcw03.83
DQ841425	South Africa	-	-	Bos taurus	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	KZNcw03.103
DQ841426	South Africa	-	-	Bos taurus	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	KZNcw03.620
DQ841427	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	KZNdg03.89
DQ841428	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	KZNdg03.105
DQ841429	South Africa	-	-	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	KZNdg03.106
